@relation correlation_ratio_dataset

@attribute a1 real
@attribute a2 real
@attribute a3 real
@attribute a4 real
@attribute label {0,1,2,3,4,5}

@data
1.11,2.569,3.58,0.760,0
1.19,2.928,3.75,0.821,0
1.09,2.865,3.93,0.928,0
1.25,3.844,3.94,1.009,0
1.11,3.027,3.60,0.766,0
1.08,2.336,3.51,0.726,0
1.11,3.027,3.60,0.766,0
1.08,2.336,3.51,0.726,0
1.11,3.211,3.98,1.209,0
1.16,3.037,3.62,0.750,0
1.05,2.074,4.09,1.036,1
1.17,2.885,4.06,1.094,1
1.11,3.378,4.87,1.635,1
1.25,3.906,4.98,1.517,1
1.17,2.782,4.38,1.197,1
1.25,3.906,4.98,1.517,1
1.17,2.782,4.38,1.197,1
1.15,3.018,4.65,1.244,1
1.17,3.383,4.69,1.495,1
1.19,3.447,4.40,1.026,1
1.07,2.505,3.76,0.912,2
0.99,2.315,4.44,1.398,2
1.06,2.667,4.38,1.197,2
1.02,2.390,4.67,1.613,2
1.15,3.021,4.48,1.476,2
1.20,3.085,4.78,1.571,2
1.15,3.021,4.48,1.476,2
1.20,3.085,4.78,1.571,2
1.20,3.308,4.57,1.506,2
1.17,3.231,4.56,1.458,2
1.22,2.838,3.89,0.944,3
1.03,2.351,4.05,1.241,3
1.14,3.001,4.05,1.023,3
1.01,2.439,3.92,1.067,3
0.99,2.199,3.27,0.693,3
1.11,3.318,3.95,1.085,3
1.20,3.601,4.27,1.242,3
1.08,3.291,3.85,1.017,3
1.20,3.601,4.27,1.242,3
1.08,3.291,3.85,1.017,3
0.91,1.532,4.04,1.084,4
1.15,2.552,4.16,1.151,4
1.14,3.083,4.79,1.381,4
1.05,2.330,4.42,1.242,4
0.99,2.079,3.47,0.673,4
1.22,3.366,4.41,1.137,4
1.05,2.416,4.64,1.455,4
1.13,3.100,4.57,1.325,4
1.05,2.416,4.64,1.455,4
1.13,3.100,4.57,1.325,4
1.11,2.813,3.76,0.800,5
0.75,0.840,3.14,0.606,5
1.05,2.199,3.75,0.790,5
1.02,2.132,3.99,0.853,5
1.05,1.949,3.34,0.610,5
1.07,2.251,3.21,0.562,5
1.13,3.064,3.63,0.707,5
1.11,2.469,3.95,0.952,5
1.13,3.064,3.63,0.707,5
1.11,2.469,3.95,0.952,5
